Martin BUSCHMANN,197434
Philip BUSHILL-MATTHEWS,4535
Zdravka BUŠIĆ,119438
Niels BUSK,4442
Cristian-Silviu BUŞOI,38420
Philippe BUSQUIN,4248
Simon BUSUTTIL,28120
Yves BUTEL,4414
Reinhard BÜTIKOFER,96739
Antonino BUTTAFUOCO,1764
Rocco BUTTIGLIONE,4407
Jorge BUXADÉ VILLALBA,197829
Professor Jerzy BUZEK,28269
Esteban CAAMAÑO BERNAL,1731
Pío CABANILLAS GALLAS,1354
Jesús CABEZÓN ALONSO,1355
Soledad CABEZÓN RUIZ,125041
Richard G. CABORN,921
José CABRERA BAZAN,1728
Milan CABRNOCH,28324
Christian E.A. CABROL,2021
Ernesto CACCAVALE,2141
Massimo CACCIARI,4405
Alain CADEC,96849
Henri-Guy CAILLAVET,917
Joan CALABUIG RULL,28322
Carlo CALENDA,197617
Maddalena CALIA,93776
Luigi CALIGARIS,2085
Martin CALLANAN,4536
Giorgio CALÒ,25421
Enrique CALVET CHAMBON,129407
Corentin CALVEZ,918
Rafael CALVO ORTEGA,1346
Leopoldo CALVO-SOTELO,1717
Juan José de la CÁMARA MARTÍNEZ,1227
Michel de CAMARET,1757
Felipe CAMISÓN ASENSIO,2276
Wim van de CAMP,96754
David CAMPBELL BANNERMAN,96912
Jorge CAMPINOS,1783
Marco CAMPOMENOSI,35016
António CAMPOS,2162
Luis CAMPOY ZUECO,1994
Mogens CAMRE,4439
Jordi CAÑAS,126644
Pedro Manuel CANAVARRO,1201
Antonio CANCIAN,96733
Carlos CANDAL,2272
Pascal CANFIN,96711
Eusebio CANO PINTO,1347
Antonio Nicola CANTALAMESSA,1812
Manuel CANTARERO DEL CASTILLO,1749
Mario CAPANNA,912
Luis Manuel CAPOULAS SANTOS,28311
Marco CAPPATO,4740
António CAPUCHO,964
Nicola CAPUTO,124851
Umberto CARDIA,913
Maria Celeste CARDONA,2311
Raquel CARDOSO,25803
Damien CARÊME,197574
Tullia CARETTONI ROMAGNOLI,900
Antonio CARIGLIA,1013
Alain CARIGNON,1750
Marie-Arlette CARLOTTI,2031
Gunilla CARLSSON,2261
Carlos CARNERO GONZÁLEZ,1973
Pierre CARNITI,1085
Giorgio CAROLLO,28415
Salvatore CARONNA,96866
Andrea CAROPPO,197797
Angelo CAROSSINO,1730
Massimo CARRARO,4417
Hélène CARRÈRE D'ENCAUSSE,2011
Maria CARRILHO,4446
Gaetano CARROZZO,2336
Hadar CARS,2108
Matt CARTHY,124986
Carlos CARVALHAS,1139
Maria Da Graça CARVALHO,96867
José Vicente CARVALHO CARDOSO,1372
James CARVER,124971
David CASA,28122
Paulo CASACA,4447
Massimo CASANOVA,197796
Michael CASHMAN,4532
Carlo CASINI,988
Pier Ferdinando CASINI,2189
José Ramón CASO GARCIA,1147
Daniel CASPARY,28219
Jean-Pierre CASSABEL,1751
Maria Luisa CASSANMAGNAGO CERRETTI,949
Bryan M.D. CASSIDY,1424
Bernard CASTAGNÈDE,2238
Pierluigi CASTAGNETTI,2102
Fabio Massimo CASTALDO,124812
Luciana CASTELLINA,947
Françoise CASTEX,28148
Giuseppe CASTIGLIONE,28459
Pilar del CASTILLO VERA,28390
Barbara A. CASTLE,1706
Frits CASTRICUM,1948
Giusto CATANIA,28979
Anna CATASTA,1116
Sir Fred CATHERWOOD,1417
Gérard CAUDRON,1175
Isabelle CAULLERY,4363
Chantal CAUQUIL,4409
Jean-Marie CAVADA,28206
Anna CAVAZZINI,86793
Luciano CAVERI,5917
Janine CAYET,1880
Susanna CECCARDI,197786
Adriana CECI,993
Manlio CECOVINI,914
Charlotte CEDERSCHIÖLD,2110
Marco CELLAI,1809
Giorgio CELLI,4400
